0, 3
1, 3
2, 8
3, 8
4, 17
5, 18
6, 17
7, 17
8, 36
9, 36
10, 36
11, 36
12, 37
13, 37
14, 37
15, 37
16, 74
17, 75
18, 75
19, 74
20, 75
21, 74
22, 75
23, 74
24, 75
25, 75
26, 74
27, 75
28, 74
29, 74
30, 74
31, 75
32, 153
33, 154
34, 150
35, 151
36, 150
37, 150
38, 150
39, 153
40, 159
41, 151
42, 151
43, 151
44, 150
45, 150
46, 151
47, 151
48, 150
49, 152
50, 151
51, 151
52, 151
53, 152
54, 150
55, 150
56, 150
57, 151
58, 149
59, 151
60, 151
61, 152
62, 155
63, 153
64, 304
65, 304
66, 304
67, 309
68, 304
69, 302
70, 304
71, 304
72, 304
73, 303
74, 303
75, 303
76, 304
77, 303
78, 306
79, 308
80, 305
81, 303
82, 302
83, 305
84, 304
85, 302
86, 305
87, 302
88, 304
89, 303
90, 306
91, 305
92, 304
93, 304
94, 307
95, 308
96, 307
97, 303
98, 303
99, 305
100, 305
