0, 0
1, 0
2, 1
3, 2
4, 2
5, 3
6, 4
7, 4
8, 5
9, 5
10, 5
11, 6
12, 5
13, 5
14, 5
15, 5
16, 5
17, 7
18, 7
19, 8
20, 7
21, 7
22, 7
23, 7
24, 8
25, 7
26, 7
27, 8
28, 7
29, 7
30, 7
31, 7
32, 7
33, 9
34, 8
35, 9
36, 9
37, 9
38, 10
39, 9
40, 10
41, 9
42, 10
43, 10
44, 8
45, 10
46, 10
47, 9
48, 10
49, 9
50, 9
51, 9
52, 8
53, 10
54, 10
55, 10
56, 10
57, 10
58, 10
59, 9
60, 10
61, 10
62, 10
63, 9
64, 10
65, 12
66, 12
67, 12
68, 11
69, 11
70, 11
71, 10
72, 10
73, 11
74, 11
75, 11
76, 11
77, 11
78, 12
79, 12
80, 11
81, 9
82, 8
83, 12
84, 12
85, 12
86, 9
87, 11
88, 12
89, 10
90, 12
91, 11
92, 12
93, 12
94, 11
95, 8
96, 8
97, 8
98, 10
99, 11
100, 11
