0, 0
1, 0
2, 3
3, 2
4, 3
5, 5
6, 6
7, 7
8, 8
9, 9
10, 11
11, 12
12, 13
13, 14
14, 15
15, 17
16, 18
17, 19
18, 19
19, 21
20, 22
21, 24
22, 25
23, 26
24, 27
25, 31
26, 29
27, 31
28, 32
29, 33
30, 34
31, 36
32, 37
33, 38
34, 39
35, 40
36, 42
37, 43
38, 43
39, 44
40, 46
41, 48
42, 49
43, 50
44, 52
45, 52
46, 56
47, 55
48, 56
49, 57
50, 63
51, 59
52, 61
53, 62
54, 63
55, 64
56, 64
57, 67
58, 68
59, 74
60, 71
61, 71
62, 73
63, 74
64, 75
65, 76
66, 77
67, 78
68, 80
69, 81
70, 82
71, 83
72, 84
73, 86
74, 87
75, 89
76, 89
77, 91
78, 92
79, 92
80, 94
81, 95
82, 97
83, 97
84, 99
85, 100
86, 101
87, 102
88, 103
89, 104
90, 107
91, 107
92, 109
93, 109
94, 110
95, 112
96, 112
97, 115
98, 116
99, 117
100, 118
